created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Wed Oct 18 23:59:55 +0000 2023;1714793464033157342;"Pdip lagi wkwkwkwk";0;0;0;0;in;76294661;1714793464033157342;bimaprimidiza;https://twitter.com/bimaprimidiza/status/1714793464033157342
Wed Oct 18 23:58:30 +0000 2023;1714793105579466836;"@Fahrihamzah Buat partai tapi kader partai lain di sanjung, mending gabung PDIP sekalian";0;0;0;0;in;816133802783166464;1714559650379764075;sitolin8;https://twitter.com/sitolin8/status/1714793105579466836
Wed Oct 18 23:58:18 +0000 2023;1714793055847616797;"@Samlawi_84 @AtrirRst48250 @BangPakat @YudhaShanny2 Yg bs makzulkn presiden hny sidang MPR. Itupun dg syarat presiden sdh melanggar konstitusi.   Skrg prtnynya, konstitusi apa yg sdh dilanggar presiden?  Kalau konstitusi pdip, itu mungkin.";0;0;0;0;in;1596913323483623425;1714636993286820097;tunggulkayu01;https://twitter.com/tunggulkayu01/status/1714793055847616797
Wed Oct 18 23:57:09 +0000 2023;1714792766788808886;"@HakimGarisLurus @ahmadsaifulch @Paltiwest Iya. PDIP pendukungnya seperti kami ini emang ga ada harganya Dimata Jokowi.  Silahkan mendukung Jokowi membabi buta.  Mau lihat Ganjar-Mahfud menang, tanpa PDIP Jokowi&amp Kel bisa apa. Yg jelas PDIP tetap parpol. 💪🏾";0;0;0;4;in;1190530742553460736;1714670903903338580;Smart_O_;https://twitter.com/Smart_O_/status/1714792766788808886
Wed Oct 18 23:56:48 +0000 2023;1714792679484383269;"Kasiandolo Sandi gagal Cawapres karena PPP sebagai pendukung Petugas PDIP tidak punyai nilai tambah ??? 🙏🤣🤣🤣🤣🤣";0;0;0;1;in;1155443417347842048;1714792679484383269;LauHamzah;https://twitter.com/LauHamzah/status/1714792679484383269
Wed Oct 18 23:56:38 +0000 2023;1714792638115958848;"@HensuAja Tak tambahin. Alan saya kasih baju merah bukan karpet merah. The next kader PDIP muda kli bgtu Mas alam iki. Bravooo GAMA";0;0;0;1;in;1703571972683407360;1714681350111064518;Mayrosa385377;https://twitter.com/Mayrosa385377/status/1714792638115958848
Wed Oct 18 23:56:23 +0000 2023;1714792575641747637;"Yohanis Lintin Paembonan, Ketua DPC PDIP Tator, Menyatakan Siap Menangkan  Pasangan Gama di Tana Toraja  Selengkapnya disini 👇👇👇  https://t.co/1ts8QMYviC";0;0;0;0;in;1371964614666166274;1714792575641747637;KristianLambe2;https://twitter.com/KristianLambe2/status/1714792575641747637
Wed Oct 18 23:56:17 +0000 2023;1714792549272137954;"PDIP tetap akan terpilih sebagai partai besar sepanjang yg diusung untuk menjadi presiden dan wapres adalah orang2 yg mumpuni.. saya tdk pernah pilih PDIP tp sdh 2 kali pilih Presiden yg diusung PDIP";0;0;0;0;in;1630361585721184257;1714792549272137954;Daeng_Rewa829;https://twitter.com/Daeng_Rewa829/status/1714792549272137954
Wed Oct 18 23:55:43 +0000 2023;1714792405814362469;"@RomitsuT Ini mah ngekritik Menkumham, prof. Yasona Laoly menteri dari PDIP. Cawapres roasting partainya sendiri";0;0;0;0;in;1449053263;1714684826761253100;AryaZulvikar;https://twitter.com/AryaZulvikar/status/1714792405814362469
Wed Oct 18 23:55:08 +0000 2023;1714792258640445629;"Dih yang kocak mah elu, udah tau itu semua kontra strategi dari pdip-mega-jokowi, eh lw malah ikutan ngebully Jokowi dan keluarga dengan kata-kata yang ga enak dibaca...";0;1;1;1;in;398798880;1714792258640445629;ZoneVenomWar;https://twitter.com/ZoneVenomWar/status/1714792258640445629
Wed Oct 18 23:55:04 +0000 2023;1714792241343213730;"@RomitsuT Dia Menkonya, mentri Hukum dan Hamnya ada di PDIP, menepuk air di dulang terpercik muka sendiri.";0;0;0;1;in;1492146932621651970;1714684826761253100;NiswahFood;https://twitter.com/NiswahFood/status/1714792241343213730
Wed Oct 18 23:54:35 +0000 2023;1714792119741906971;"@henrysubiakto Itukan menurut pdip, kalau menurut rakyat yg suka pak jokowi ya nggak kayak gitu 😂";0;0;0;0;in;2887413990;1714642331196907901;iamevasetiyawan;https://twitter.com/iamevasetiyawan/status/1714792119741906971
Wed Oct 18 23:54:15 +0000 2023;1714792038682833380;"@ch_chotimah2 @gibran_tweet @PDI_Perjuangan @jokowi @ganjarpranowo @ArsjadRasjid Sketika di dampingi Mahfud ap membuat lupa. PDIP masih sarang koruptor, Presiden di anggap boneka";0;0;0;0;in;1631292430002651148;1714128914388513053;Menjaditerang1;https://twitter.com/Menjaditerang1/status/1714792038682833380
Wed Oct 18 23:54:07 +0000 2023;1714792001429008613;"OPEN JASA SADAP DAN HACK  =&gt  SADAP WHATSAPP  =&gt  HACK INSTAGRAM  =&gt  HACK FACEBOOK  =&gt  HACK TWITTER  =&gt  HACK EMAIL =&gt  DLL  *  Sara Wijayanto #GazaAttack #AnindyaAstadasa Foto Termahal 2023 #PalestineGenocide Mamat MOM SORRY PDIP https://t.co/IIdjRP3olH";0;0;0;0;in;1698667854076514305;1714792001429008613;JasaHackerW;https://twitter.com/JasaHackerW/status/1714792001429008613
Wed Oct 18 23:53:54 +0000 2023;1714791948148670542;"@HakimGarisLurus @ahmadsaifulch @Paltiwest Tanpa PDIP, Jokowi tidak akan pernah menjadi walikota, gubernur dan presiden. . . PAHAM.....???";0;0;1;2;in;1352912193969262592;1714670903903338580;Bullbull_Merah;https://twitter.com/Bullbull_Merah/status/1714791948148670542
Wed Oct 18 23:53:16 +0000 2023;1714791791248249205;"Tegas melawan korupsi, tapi yang ngomong orang PDIP.  🤣🤣🤣";0;0;0;0;in;299157212;1714791791248249205;Ryandisajja;https://twitter.com/Ryandisajja/status/1714791791248249205
Wed Oct 18 23:52:33 +0000 2023;1714791609907466374;"@Metro_TV @ganjarpranowo @mohmahfudmd Selamat atas terpilihnya Bapak Mahpud MD menjadi pendamping Pak Ganjar Pranowo di pilpres 2024,  sukses slalu PDIP";0;0;0;0;in;1277956171026984966;1714783579946033596;CukangGaleuh;https://twitter.com/CukangGaleuh/status/1714791609907466374
Wed Oct 18 23:51:47 +0000 2023;1714791415430197736;"@bedarmanto @SantorinisSun PDIP yg sy kenal dr tahun 80 an PDI sudah tangguh dan biasa dikucilkan, tapi ingat darah merah ada disetiap anak bangsa ini berada dibelakang dg diam";0;0;0;0;in;3016264855;1714257984682127676;yyonirudy;https://twitter.com/yyonirudy/status/1714791415430197736
Wed Oct 18 23:51:42 +0000 2023;1714791393170948403;"@CNNIndonesia lah, pdip udah berkuasa 10 tahun";0;0;0;0;in;170641132;1714621334477783478;wisnuaji_aji;https://twitter.com/wisnuaji_aji/status/1714791393170948403
Wed Oct 18 23:51:19 +0000 2023;1714791299092787202;"@Fahrihamzah maju waeeee....ra sah mikiri pdip partai terkepo dan teruwet 😅";0;0;0;0;in;1574280178754211841;1714559650379764075;endelz5;https://twitter.com/endelz5/status/1714791299092787202
Wed Oct 18 23:50:58 +0000 2023;1714791209527345210;"@putra_adrin @PresidenKopi @sandiuno PDIP gak mau gandeng PPP krn keduanya musuh bebuyutan di Jateng n Jogya.. Ingat hotnews saling gesek gara2 benderanya n bendera Palestine dirusak oleh arogan moncong putih ?? 😅";0;0;0;1;in;958759661758369792;1714558343891878295;NininGrisehati;https://twitter.com/NininGrisehati/status/1714791209527345210
Wed Oct 18 23:49:29 +0000 2023;1714790836414959678;"@henrysubiakto Mungkin sdh waktunya Joko widodo  PDIP dan Megawati Istirahat. Alloh Swt Maha Ahli dalam merekayasa. Alloh sangat sayang dengan keutuhan dan kesejahteraan Indonesia kedepan. Mari kita dukung Pak Anies untuk memimpin Indonesia. Semoga....";0;0;1;1;in;1488734509403361283;1714642331196907901;akhmadsoderi2;https://twitter.com/akhmadsoderi2/status/1714790836414959678
Wed Oct 18 23:49:01 +0000 2023;1714790717955219736;"@DoradongWarrior jangan sok iyes…jangan2 jokowi sedang menjalankan misi mega dan pdip. pecahkan fokus lawannya dst dst 😁";0;0;0;0;in;1605458605066850305;1714633416904257857;bprakoso3571;https://twitter.com/bprakoso3571/status/1714790717955219736
Wed Oct 18 23:48:06 +0000 2023;1714790490443497824;"Foto Termahal 2023 Gibran Sara Wijayanto SKCK ORANG BAIK PILIH ORANG BAIK Mamat 349 T PDIP Imroatus MOM SORRY Dora Madura jam 3 Busui Friendly";0;0;0;0;in;1482491336339386369;1714790490443497824;belabeli_;https://twitter.com/belabeli_/status/1714790490443497824
Wed Oct 18 23:48:05 +0000 2023;1714790485230043310;"@zuki2611 @gibran_tweet Iya tapi Jokowi yang membesarkan PDIP bukan pdip yang membesarkan jokowi";0;0;0;0;in;1136902024388235265;1714561924225249552;MerekaWisnu;https://twitter.com/MerekaWisnu/status/1714790485230043310
Wed Oct 18 23:47:38 +0000 2023;1714790370276786583;"Foto Termahal 2023 Gibran Sara Wijayanto SKCK ORANG BAIK PILIH ORANG BAIK Mamat 349 T PDIP Imroatus MOM SORRY Dora Madura jam 3 Busui BH";0;0;0;0;in;1482491336339386369;1714790370276786583;belabeli_;https://twitter.com/belabeli_/status/1714790370276786583
Wed Oct 18 23:47:13 +0000 2023;1714790268397064404;"@henrysubiakto PDIP kan besar bukan karena Pa Jokowi...... Knp hrs panik...........?????";0;0;0;0;in;212556391;1714642331196907901;jarimmoehtar;https://twitter.com/jarimmoehtar/status/1714790268397064404
Wed Oct 18 23:47:10 +0000 2023;1714790254522343667;"Foto Termahal 2023 Gibran Sara Wijayanto SKCK ORANG BAIK PILIH ORANG BAIK Mamat 349 T PDIP Imroatus MOM SORRY Dora Madura jam 3 Kado bayi";0;0;0;0;in;1482491336339386369;1714790254522343667;belabeli_;https://twitter.com/belabeli_/status/1714790254522343667
Wed Oct 18 23:46:53 +0000 2023;1714790181373641117;"@torotrapah @puanmaharani_ri Ngga bakal berani pdip. Slm ini mrk hanya "membesarkan" jkw dan keluarganya, tanpa membesarkan pdip. Sampai2 fans jkw jauh melampaui pdip.";0;0;0;0;in;1617060345528610816;1714584964623441968;Raeraraera;https://twitter.com/Raeraraera/status/1714790181373641117
Wed Oct 18 23:46:37 +0000 2023;1714790115992904062;"Foto Termahal 2023 Gibran Sara Wijayanto SKCK ORANG BAIK PILIH ORANG BAIK Mamat 349 T PDIP Imroatus MOM SORRY Dora Madura jam 3 Anis Baswedan";0;0;0;0;in;1482491336339386369;1714790115992904062;belabeli_;https://twitter.com/belabeli_/status/1714790115992904062
Wed Oct 18 23:46:14 +0000 2023;1714790019347750975;"katakan TIDAK untuk Ganjar - mahfud. katakan TIDAK unt capres dr PDIP Say NO to Ganjar";0;0;0;0;in;1074694736206680064;1714790019347750975;yulinasitia;https://twitter.com/yulinasitia/status/1714790019347750975
Wed Oct 18 23:46:09 +0000 2023;1714789996442587510;"Foto Termahal 2023 Gibran Sara Wijayanto SKCK ORANG BAIK PILIH ORANG BAIK Mamat 349 T PDIP Imroatus MOM SORRY Dora Madura jam 3 Bra busui";0;0;0;0;in;1482491336339386369;1714789996442587510;belabeli_;https://twitter.com/belabeli_/status/1714789996442587510
Wed Oct 18 23:46:08 +0000 2023;1714789995427561823;"Hasil Togel Argentinos, 19 Oktober 2023  Akun Gacor👉 https://t.co/HclyIeEyN2  Gibran dan PDIP ketemu Mamat sedang Tidur  Tags : bokep indonesia bokep viral bokep janda bokep jepang bokep barat bokep asia bokep sma cewek cantik cewek montok cewek seksi bokep bumil https://t.co/mWfSJpFvOc";0;0;0;0;in;1702340513414963200;1714789995427561823;lcct0to;https://twitter.com/lcct0to/status/1714789995427561823
Wed Oct 18 23:46:01 +0000 2023;1714789965622915262;"@sahid4h @Munir_Timur Rata2 yg pilih pdip itu di kampung ku itu  yaa.  ada yg muslim tpi minus , selebihnya sekuler dll.  Jgn ngaku bilang Islam moderat.. 🙏🙏";0;1;0;0;in;761086948651831296;1714285913520632140;wasit26;https://twitter.com/wasit26/status/1714789965622915262
Wed Oct 18 23:45:29 +0000 2023;1714789831048605700;"Foto Termahal 2023 Gibran Sara Wijayanto SKCK ORANG BAIK PILIH ORANG BAIK Mamat 349 T PDIP Imroatus MOM SORRY Dora Madura jam 3 Asi Booster";0;0;0;0;in;1482491336339386369;1714789831048605700;belabeli_;https://twitter.com/belabeli_/status/1714789831048605700
Wed Oct 18 23:45:27 +0000 2023;1714789820218880285;"@eckoence @KurniadiDjap @henrysubiakto Emx siapa yg menugaskan jokowi jd cawalkot, cagub, capres, bapak lu ya???. Partai yg tugaskan, dan cm pDIP yg mau memberikan tUGAS itu pada jokowi, partai lain ketum nya yg maju, kader biasa mana bisa, klau goblok mndg dIEM, anteng smbil mkan tinja,";0;0;0;0;in;1347818596131459072;1714642331196907901;Arya010787;https://twitter.com/Arya010787/status/1714789820218880285
Wed Oct 18 23:44:59 +0000 2023;1714789702941946247;"Foto Termahal 2023 Gibran Sara Wijayanto SKCK ORANG BAIK PILIH ORANG BAIK Mamat 349 T PDIP Imroatus MOM SORRY Dora Madura jam 3  Daster Busui";0;0;0;0;in;1482491336339386369;1714789702941946247;belabeli_;https://twitter.com/belabeli_/status/1714789702941946247
Wed Oct 18 23:44:28 +0000 2023;1714789575548354937;"Foto Termahal 2023 Gibran Sara Wijayanto SKCK ORANG BAIK PILIH ORANG BAIK Mamat 349 T PDIP Imroatus MOM SORRY Dora Madura jam 3";0;0;0;0;in;1482491336339386369;1714789575548354937;belabeli_;https://twitter.com/belabeli_/status/1714789575548354937
Wed Oct 18 23:44:13 +0000 2023;1714789510196973870;"@hc_poirot Sandi dan P3 mundur saja dari koalisi,PDIP sama P3 beda amat dari sisi ideologi partai";0;0;0;1;in;1485686832306454529;1714663473165287591;JalilBasyah;https://twitter.com/JalilBasyah/status/1714789510196973870
Wed Oct 18 23:44:05 +0000 2023;1714789477611446330;"Silsilah keluarga Ganjar keturunan Walisongo💯  || Foto Termahal 2023 Sara Wijayanto MOM SORRY Gibran SKCK 349 T Mamat PDIP ORANG BAIK PILIH ORANG BAIK Madura GoFud Projo Dukung Prabowo Megawati Army || https://t.co/YIJHjgZsOm";2;27;9;24;in;1598900618445221889;1714789477611446330;AsmiasihM45;https://twitter.com/AsmiasihM45/status/1714789477611446330
Wed Oct 18 23:43:19 +0000 2023;1714789287210975489;"Polisi Foto Termahal 2023 Gibran Sara Wijayanto SKCK ORANG BAIK PILIH ORANG BAIK Mamat 349 T PDIP Imroatus MOM SORRY Dora Madura";0;0;0;0;in;1482491336339386369;1714789287210975489;belabeli_;https://twitter.com/belabeli_/status/1714789287210975489
Wed Oct 18 23:43:12 +0000 2023;1714789256869388621;"@Lamon_gray @Paltiwest Menurut ku Pdip akan makin moncer tuh";0;0;0;0;in;2684042514;1714556588143628674;ririn_hillman;https://twitter.com/ririn_hillman/status/1714789256869388621
Wed Oct 18 23:43:07 +0000 2023;1714789235683975509;"@makin_kesana @abdillllah @utdfocusid Makanya harus tau komposisi nya paling banyak siapaa wkwkwk jelas PDIP 😂 .... Pemerintahan skrng lebih semena mena karena oposisi dikit makanya kebijakan lebih sering disahkan daripada di batalkan wkwkwk ... Rezim otoriter bakal terus berlanjut kalau dipegang pdip";0;0;0;0;in;1256071254584332288;1714501310475870542;Vhyx78;https://twitter.com/Vhyx78/status/1714789235683975509
